,close,date,high,low,open,quoteVolume,volume,weightedAverage
157,6373.00000002,1510666800,6387.99999998,6358.9714304,6375,12.3188368,78491.36318005,6371.65378958
158,6356,1510667100,6385,6356,6380,27.85292044,177681.20437692,6379.26657492
159,6365.85394005,1510667400,6379.99999943,6356,6379.99999943,10.2066967,64913.51731145,6359.8948043
160,6380,1510667700,6396.1502,6365.85394006,6365.85394006,9.27475402,59176.5462652,6380.38983433
161,6419.99999999,1510668000,6424,6371.00000001,6371.00000014,43.04836263,274938.17208183,6386.72774722
162,6417.00000001,1510668300,6420.00000005,6404.09712546,6413.58641359,11.9387324,76599.94795565,6416.0871849
163,6425,1510668600,6440,6417,6417.03000011,21.60390697,138807.58583268,6425.11495839
164,6441.13572698,1510668900,6450.07400001,6425,6436.78449997,14.23452329,91674.051218,6440.2614229
165,6441.13572688,1510669200,6461.46922852,6435.40667499,6445.91477361,13.8998841,89625.18248483,6447.90861852
166,6431.0010001,1510669500,6441,6425,6435.40667511,11.36064055,73114.33828605,6435.75843846
167,6449.99989999,1510669800,6450,6431.00100026,6440,12.38052034,79784.73598181,6444.37663286
168,6450,1510670100,6453.999,6440.00000033,6444.00000001,6.59909639,42556.56144081,6448.84677018
169,6441.78000001,1510670400,6453.99899998,6441.63500001,6452.99999998,15.79353652,101850.40041188,6448.86598279
170,6453.99899998,1510670700,6453.99899998,6441.78000001,6446.635,6.91546798,44586.22207005,6447.31812785
171,6479.93636598,1510671000,6479.93636602,6445.78000001,6445.78000001,24.69208633,159383.85044896,6454.8555484
172,6473.46891103,1510671300,6479.93636596,6455.87668779,6479.93636589,10.59548062,68536.53495268,6468.46871894
173,6489,1510671600,6489,6467,6473.46891103,26.93639133,174621.10387277,6482.72078221
174,6496.90546866,1510671900,6498,6480.38043327,6488.99999999,13.5754631,88112.61253295,6490.57876581
175,6483.8142954,1510672200,6500,6483.8142954,6498,17.39027436,112960.66272066,6495.62280515
176,6470,1510672500,6491.00000004,6451.76011655,6491.00000004,17.73448243,114735.64315095,6469.63584101
177,6478,1510672800,6479.2797,6449,6470,13.93362997,89978.53262635,6457.65194138
178,6480.00000015,1510673100,6480.00000017,6460.00000192,6470.00000006,4.12251721,26690.00978213,6474.20214945
179,6486.99999955,1510673400,6497.0016904,6471.8069,6476.99999956,12.97065287,84127.27888059,6485.97103968
180,6464.00000021,1510673700,6493.60946769,6464.00000009,6486.99999955,6.43349663,41658.83552329,6475.30229969
181,6458.99999968,1510674000,6477.22079947,6450,6470.22079999,9.49208898,61352.3635446,6463.52596081
182,6431.0000006,1510674300,6458.99999955,6430,6450,22.28921273,143504.90409666,6438.31192402
183,6453.77515946,1510674600,6459.96061687,6430.90546919,6431.00000069,18.27506397,117770.66729033,6444.33680142
184,6468.6408138,1510674900,6472.57115883,6453.77515941,6459.96061687,19.102634,123439.49401239,6461.90959908
185,6430.00000004,1510675200,6468.64081363,6430,6461,11.73732998,75764.30336386,6454.9862271
186,6425.0001,1510675500,6441.05280938,6425,6430.00000004,35.16906749,226190.4501178,6431.51684877
187,6439.99999998,1510675800,6445.19390045,6402.75995725,6426.99999999,18.53983619,119089.81062665,6423.4553858
188,6451.55802166,1510676100,6451.55802166,6423.09949347,6439.99999976,28.59050881,183996.35110514,6435.57455825
189,6438.9999998,1510676400,6452.73061647,6435.79999944,6452.73061647,5.63393253,36347.42584077,6451.51954646
190,6445,1510676700,6449.89999997,6436.5000002,6438.99999977,9.51323471,61286.57055733,6442.24308824
191,6449.99999999,1510677000,6452,6439,6448,9.56818494,61676.50702799,6445.99863137
192,6500.00000001,1510677300,6500.00000001,6445.17630001,6449.99999999,43.95897281,284445.85665127,6470.71208603
193,6505.00000001,1510677600,6510,6475.30000001,6500,19.15848209,124456.94837596,6496.18001005
194,6514.63129956,1510677900,6519.24845286,6490.47,6505.00000001,36.01028636,234161.09094008,6502.6167412
195,6517.88776174,1510678200,6520,6492.21023499,6500.4236448,26.67504057,173716.18960702,6512.31210506
196,6510,1510678500,6520.2429026,6500.00000001,6519,25.37262366,165233.36048003,6512.26939295
197,6516.18075747,1510678800,6518.04430002,6500.00000002,6500.19999999,18.89292764,122956.6060845,6508.07584866
198,6518.08075735,1510679100,6519.99999984,6505,6518.04430002,6.76664959,44082.74977608,6514.70852594
199,6510.00000019,1510679400,6520.24290259,6507.37770001,6507.37770001,9.80886609,63912.61562007,6515.80060668
200,6525.00000014,1510679700,6540.1933801,6510.37770016,6520,17.33027701,113210.07254531,6532.50219139
201,6533.00000009,1510680000,6550,6525.00000009,6525.00000015,24.89769401,162882.76785428,6542.08248317
202,6540.99999982,1510680300,6550,6533.00000009,6533.00000009,22.02157075,144154.36310607,6546.05271997
203,6521.99999999,1510680600,6540.99999972,6508,6534.21583071,12.00628559,78298.74333462,6521.47933244
204,6535.2001,1510680900,6549.001757,6510.23372798,6521.99999999,13.08667971,85487.09357517,6532.37455715
205,6523,1510681200,6539.99999997,6521.99999995,6539.99999997,6.34257057,41384.82148607,6524.928817
206,6505.49355706,1510681500,6524.368,6495,6524.36799993,42.17169557,274491.14577211,6508.89517393
207,6511.00000007,1510681800,6524.16,6500.48451539,6505.49355707,19.96608684,130039.64230781,6513.02597999
208,6511.60041076,1510682100,6517.20009997,6500.95006118,6515,4.27656895,27827.25972132,6506.91244468
209,6506,1510682400,6513.80051008,6500.99000009,6500.99000009,9.37634673,61019.58610815,6507.82099524
210,6512.29000002,1510682700,6513.50041068,6501.60041094,6506,5.15134825,33545.38798506,6511.96276335
211,6537.7915667,1510683000,6540.60041,6512.29,6512.29000002,25.05372395,163550.89042776,6528.0072038
212,6538.29600033,1510683300,6544.088,6537.79156667,6539.196,12.83816835,83959.27406145,6539.81718984
213,6550,1510683600,6552.20009999,6538.29600034,6544.088,19.78696914,129576.14228829,6548.55937619
214,6512.77999984,1510683900,6552.2001,6501.20009999,6550,38.1356591,248821.23587157,6524.63446925
215,6494.77999971,1510684200,6522.40009993,6490.99987599,6512.9999998,17.60500604,114535.79212061,6505.8649716
216,6480.60306397,1510684500,6501.16002426,6470,6494.7799998,17.78472489,115420.94517035,6489.89207785
217,6470.03777007,1510684800,6485,6470,6480.60306397,11.94447029,77374.40140104,6477.84284463
218,6482.00000006,1510685100,6492.702207,6472.3000001,6484.99999999,15.77840341,102348.67215081,6486.63045881
219,6470.012,1510685400,6490.60220685,6470.012,6490.60220685,7.23721045,46872.30199314,6476.57026377
220,6481.90854088,1510685700,6482.21209975,6460,6470.012,11.25457654,72807.34652023,6469.13246904
221,6520.8999045,1510686000,6522.48670053,6475.30001961,6482.21209975,21.33430774,138625.24791762,6497.76170884
222,6508.96489875,1510686300,6538.73999989,6508.96489875,6522.48670054,30.14253319,196667.72041481,6524.59165177
223,6527,1510686600,6533.23776996,6508.9648999,6520,11.91806417,77725.63372822,6521.66598698
